date,datetime,timestamp,season,away,away_code,away_pts,home,home_code,home_pts,overtime,type,boxscore
11/6/2023,11/6/2023 19:00,1699297200,2024,Dallas Mavericks,DAL,117,Orlando Magic,ORL,102,,,https://www.basketball-reference.com/boxscores/202311060ORL.html
11/6/2023,11/6/2023 19:00,1699297200,2024,Washington Wizards,WAS,128,Philadelphia 76ers,PHI,146,,,https://www.basketball-reference.com/boxscores/202311060PHI.html
11/6/2023,11/6/2023 19:30,1699299000,2024,Milwaukee Bucks,MIL,129,Brooklyn Nets,BRK,125,,,https://www.basketball-reference.com/boxscores/202311060BRK.html
11/6/2023,11/6/2023 19:30,1699299000,2024,Los Angeles Lakers,LAL,107,Miami Heat,MIA,108,,,https://www.basketball-reference.com/boxscores/202311060MIA.html
11/6/2023,11/6/2023 19:30,1699299000,2024,Los Angeles Clippers,LAC,97,New York Knicks,NYK,111,,,https://www.basketball-reference.com/boxscores/202311060NYK.html
11/6/2023,11/6/2023 20:00,1699300800,2024,Utah Jazz,UTA,113,Chicago Bulls,CHI,130,,,https://www.basketball-reference.com/boxscores/202311060CHI.html
11/6/2023,11/6/2023 20:00,1699300800,2024,Sacramento Kings,SAC,97,Houston Rockets,HOU,122,,,https://www.basketball-reference.com/boxscores/202311060HOU.html
11/6/2023,11/6/2023 20:00,1699300800,2024,Boston Celtics,BOS,109,Minnesota Timberwolves,MIN,114,OT,,https://www.basketball-reference.com/boxscores/202311060MIN.html
11/6/2023,11/6/2023 20:00,1699300800,2024,Atlanta Hawks,ATL,117,Oklahoma City Thunder,OKC,126,,,https://www.basketball-reference.com/boxscores/202311060OKC.html
11/6/2023,11/6/2023 21:00,1699304400,2024,New Orleans Pelicans,NOP,116,Denver Nuggets,DEN,134,,,https://www.basketball-reference.com/boxscores/202311060DEN.html
11/8/2023,11/8/2023 19:00,1699470000,2024,Washington Wizards,WAS,132,Charlotte Hornets,CHO,116,,,https://www.basketball-reference.com/boxscores/202311080CHO.html
11/8/2023,11/8/2023 19:00,1699470000,2024,Utah Jazz,UTA,118,Indiana Pacers,IND,134,,,https://www.basketball-reference.com/boxscores/202311080IND.html
11/8/2023,11/8/2023 19:00,1699470000,2024,Boston Celtics,BOS,103,Philadelphia 76ers,PHI,106,,,https://www.basketball-reference.com/boxscores/202311080PHI.html
11/8/2023,11/8/2023 19:30,1699471800,2024,Los Angeles Clippers,LAC,93,Brooklyn Nets,BRK,100,,,https://www.basketball-reference.com/boxscores/202311080BRK.html
